Date,Date Added,Location,Endroit,Address,Address-fr,Transit Route,Details,Précisions
11/07/2020 12:00:00 AM,11/20/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,32,Graham Ave. to Main St. and Machray Ave. from 2:00 p.m. to 6:00 p.m.,"Depuis l’av. Graham jusqu’au coin de la rue Main et de l’av. Machray, entre 14 h et 18 h"
11/09/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,44,From McLeod Ave. southbound at 6:55 a.m. to City Hall at 7:20 a.m.,"Depuis l’av. McLeod, en direction sud, à 6 h 55, jusqu’à l’hôtel de ville, à 7 h 20"
11/10/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,44,From McLeod Ave. southbound at 6:55 a.m. to City Hall at 7:20 a.m.,"Depuis l’av. McLeod, en direction sud, à 6 h 55, jusqu’à l’hôtel de ville, à 7 h 20"
11/13/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,18,Route 18 at 5:00 p.m. at 285 Pembina Hwy. and Route 45 at 6:00 p.m.,"Ligne 18, à 17 h, au 285, ch. Pembina, et ligne 45, à 18 h"
11/12/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,47,Route 47 at 8:22 a.m. at 1131 Nairn Ave. and Route 60 at 9:20 a.m. at Graham Ave. and Donald St.,"Ligne 47, à 8 h 22, au 1131, av. Nairn, et ligne 60, à 9 h 20, au coin de l’av. Graham et de la rue Donald"
11/13/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,45,Route 18 at 5:00 p.m. at 285 Pembina Hwy. and Route 45 at 6:00 p.m.,"Ligne 18, à 17 h, au 285, ch. Pembina, et ligne 45, à 18 h"
11/12/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,18,Route 18 at 5:00 p.m. at 285 Pembina Hwy. and Route 45 at 6:00 p.m.,"Ligne 18, à 17 h, au 285, ch. Pembina, et ligne 45, à 18 h"
11/18/2020 12:00:00 AM,11/25/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,15,Sargent Ave. and Flight Rd. at 11:30 a.m. to Kennedy St. and Sargent Ave. at 11:45 a.m.,Depuis le coin de l’av. Sargent et du chemin Flight à 11 h 30 jusqu’au coin de la rue Kennedy et de l’av. Sargent à 11 h 45
11/12/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,60,Route 47 at 8:22 a.m. at 1131 Nairn Ave. and Route 60 at 9:20 a.m. at Graham Ave. and Donald St.,"Ligne 47, à 8 h 22, au 1131, av. Nairn, et ligne 60, à 9 h 20, au coin de l’av. Graham et de la rue Donald"
11/13/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,60,Route 47 at 8:22 a.m. at 1131 Nairn Ave. and Route 60 at 9:20 a.m. at Graham Ave. and Donald St.,"Ligne 47, à 8 h 22, au 1131, av. Nairn, et ligne 60, à 9 h 20, au coin de l’av. Graham et de la rue Donald"
